Rank,Rider,Points,Date_of_birth,Nationality,Weight,Height,PCS_points,One_day_races,GC,Time_trial,Sprint,Climber,Hills
190,WELSFORD Sam,355,26th November 1986 ,Netherlands,4.0,1.84,401,5218,6008,2074,179,7432,4093
191,WALSCHEID Max,354,16th August 2003 ,Spain,5.0,1.93,177,146,306,244,55,194,66
192,RODRÍGUEZ Cristián,349,13th June 1999 ,Great Britain,5.0,1.84,297,573,375,415,159,348,1218
193,STEINHAUSER Georg,348,14th August 1996 ,Italy,3.0,1.8,248,1238,65,28,1644,5,401
194,FOSS Tobias,347,27th April 1997 ,Colombia,3.0,1.8,287,96,697,265,8,624,566
195,BJERG Mikkel,347,6th January 1992 ,France,2.0,1.79,419,861,1031,122,296,1034,1492
196,ANIOŁKOWSKI Stanisław,346,26th August 2000 ,Italy,4.0,1.88,355,478,212,278,108,138,334
197,CAMPENAERTS Victor,344,26th August 1991 ,France,6.0,1.81,344,6670,1536,483,4564,206,2572
198,VAN ASBROECK Tom,343,13th September 1998 ,Switzerland,8.0,1.81,360,343,242,2332,174,18,381
199,MEURISSE Xandro,340,6th August 2005 ,Great Britain,8.0,,117,254,19,14,208,42,196
200,TAMINIAUX Lionel,337,16th November 2001 ,Ireland,6.0,1.72,414,213,248,6,0,303,220
